time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-16T06:24:21.041Z,44.5555,6.811,8.462,4.1,mb,36,122,0.505,0.38,us,us6000kc87,2023-07-24T01:16:38.040Z,"16 km W of Pleyne, Italy",earthquake,3.9,5.085,0.174,9,reviewed,us,us
2023-04-17T13:28:56.079Z,42.979,0.3442,10,4,mb,21,101,0.77,0.95,us,us6000k63c,2023-07-03T02:47:30.040Z,"11 km SSW of La Barthe-de-Neste, France",earthquake,3.95,1.981,0.367,2,reviewed,us,us
2023-04-04T21:06:08.713Z,35.0303,-3.9547,15.028,4.5,mb,17,122,2.258,0.42,us,us6000k3jd,2023-06-13T03:12:59.040Z,"13 km SW of Bni Bouayach, Morocco",earthquake,7.18,2.754,0.242,5,reviewed,us,us
2023-02-24T09:15:04.526Z,36.6094,-8.0546,10,3.2,ml,8,167,0.81,0.52,us,us6000jr9k,2023-04-29T21:57:33.040Z,"46 km SSW of Faro, Portugal",earthquake,3.86,1.994,0.128,8,reviewed,us,us
2023-02-12T08:36:45.805Z,35.0177,-3.8262,10,4.4,mb,30,132,2.283,0.38,us,us6000jqbh,2023-04-22T21:33:20.040Z,"9 km S of Bni Bouayach, Morocco",earthquake,5.21,1.797,0.19,11,reviewed,us,us
2023-02-12T06:59:30.586Z,35.0455,-3.8846,10,4.1,mb,26,114,2.293,0.62,us,us6000jqbf,2023-04-22T21:33:20.040Z,"7 km SSW of Bni Bouayach, Morocco",earthquake,6.98,1.894,0.235,8,reviewed,us,us
2023-01-07T13:28:57.408Z,34.9885,-3.8382,10,4.4,mb,31,117,2.249,0.78,us,us7000j2t5,2023-03-11T22:51:44.040Z,"12 km S of Bni Bouayach, Morocco",earthquake,6.93,1.901,0.17,10,reviewed,us,us
2023-01-07T08:12:28.095Z,34.995,-3.9009,10,4.9,mww,180,46,2.238,0.52,us,us7000j2ru,2023-03-11T22:51:44.040Z,"Morocco",earthquake,3.96,1.844,0.063,24,reviewed,us,us
2022-12-31T07:05:53.983Z,37.1379,-1.8845,9.693,4.2,mb,20,144,0.834,0.47,us,us7000j178,2023-03-07T19:00:01.040Z,"1 km SSE of Turre, Spain",earthquake,6.29,7.5,0.303,3,reviewed,us,us
2022-12-07T08:18:54.460Z,36.4851,3.0791,10,4,mb,30,146,3.445,0.73,us,us6000j7k6,2023-02-11T23:03:13.040Z,"northern Algeria",earthquake,5.79,1.938,0.163,10,reviewed,us,us
2022-11-30T11:07:01.690Z,35.5367,-3.4806,10,4.4,mb,43,89,2.396,0.44,us,us6000j5r8,2023-02-05T23:25:31.040Z,"52 km NE of Al Hoceïma, Morocco",earthquake,5.83,1.883,0.138,19,reviewed,us,us
2022-11-20T13:03:34.315Z,36.4721,7.1179,10,4.2,mb,28,141,1.95,0.51,us,us7000is4s,2023-01-30T06:00:24.040Z,"27 km W of Guelma, Algeria",earthquake,5.03,1.912,0.176,10,reviewed,us,us
2022-11-20T11:48:10.947Z,37.0304,3.682,10,4.1,mb,32,137,2.898,0.33,us,us7000ir59,2023-01-30T06:00:23.040Z,"24 km WNW of Dellys, Algeria",earthquake,4.94,1.937,0.157,11,reviewed,us,us
2022-11-18T23:32:42.138Z,35.4546,-3.6108,10,4.3,mb,47,115,2.334,0.63,us,us7000iqvl,2023-01-28T19:58:28.040Z,"37 km NE of Al Hoceïma, Morocco",earthquake,6.69,1.904,0.116,21,reviewed,us,us
2022-11-12T13:32:13.733Z,36.3127,3.0727,10,4.8,mb,34,149,3.502,0.97,us,us7000ipav,2023-01-28T19:58:09.040Z,"24 km NE of Berrouaghia, Algeria",earthquake,7.54,1.907,0.144,15,reviewed,us,us
2022-11-04T22:26:50.471Z,35.4758,-3.5546,10,4.3,mb,26,116,2.786,0.36,us,us7000iml9,2023-01-12T23:11:34.040Z,"42 km NE of Al Hoceïma, Morocco",earthquake,7.13,1.926,0.306,3,reviewed,us,us
2022-10-21T12:45:58.940Z,35.3062,-4.0765,10,4.3,mb,55,109,2.08,0.53,us,us6000ivhg,2022-12-31T23:03:46.040Z,"13 km NW of Tirhanimîne, Morocco",earthquake,6.47,1.894,0.101,28,reviewed,us,us
2022-10-16T07:32:16.639Z,35.4713,-3.4838,15.504,4.5,mb,25,71,2.42,0.39,us,us6000iv98,2022-12-31T23:03:42.040Z,"47 km ENE of Al Hoceïma, Morocco",earthquake,3.69,4.785,0.163,11,reviewed,us,us
2022-10-04T15:39:29.753Z,35.2919,-3.6514,10,4.9,mb,70,95,2.382,0.71,us,us6000iqqa,2022-12-10T22:53:07.040Z,"24 km NE of Imzouren, Morocco",earthquake,3.75,1.838,0.057,99,reviewed,us,us
2022-10-04T15:37:19.100Z,35.5593,-3.4635,10,4,mb,18,116,2.4,1.02,us,us6000iqq9,2022-12-10T22:53:07.040Z,"54 km NE of Al Hoceïma, Morocco",earthquake,3.3,1.929,0.366,2,reviewed,us,us
2022-09-19T16:30:47.505Z,36.5606,-11.1552,10,4.5,mb,55,99,1.953,0.93,us,us7000i9bg,2022-11-26T20:57:42.040Z,"203 km WSW of Sagres, Portugal",earthquake,9.31,1.858,0.096,34,reviewed,us,us
2022-09-15T21:05:51.727Z,35.4973,-3.6194,10,4.6,mb,28,115,2.309,0.36,us,us7000ia5u,2022-11-19T23:03:52.040Z,"Strait of Gibraltar",earthquake,6.91,1.926,0.244,5,reviewed,us,us
2022-09-07T16:28:12.620Z,36.574,7.1699,10,4.2,mb,23,165,1.951,0.4,us,us7000i627,2022-11-15T19:06:14.040Z,"19 km SSE of Azzaba, Algeria",earthquake,7.02,1.959,0.304,3,reviewed,us,us
2022-08-23T17:46:05.496Z,35.4353,-3.4312,14.29,4.3,mb,22,139,2.788,0.94,us,us7000i422,2022-11-01T15:14:36.040Z,"Strait of Gibraltar",earthquake,7.7,5.415,0.375,3,reviewed,us,us
2022-08-14T20:20:45.889Z,35.9373,-8.5367,38.552,4.1,mb,33,99,1.216,0.49,us,us6000iav1,2022-10-28T02:25:58.040Z,"124 km SSE of Sagres, Portugal",earthquake,6.87,9.221,0.106,24,reviewed,us,us
2022-08-10T18:33:15.094Z,35.5502,-3.6409,10,4.2,mb,22,134,2.271,0.95,us,us6000ic50,2022-10-21T23:20:16.040Z,"Strait of Gibraltar",earthquake,6.26,1.944,0.304,3,reviewed,us,us
2022-08-03T21:19:57.003Z,35.4414,-3.6393,10,4,mb,37,77,2.319,0.72,us,us6000i7uy,2022-10-12T14:50:19.040Z,"34 km NE of Al Hoceïma, Morocco",earthquake,6.53,1.918,0.134,15,reviewed,us,us
2022-07-20T14:11:42.653Z,35.4923,-3.5369,10,4.1,mb,34,78,2.372,0.54,us,us7000hs39,2022-09-27T16:57:09.040Z,"45 km NE of Al Hoceïma, Morocco",earthquake,4.99,1.895,0.184,8,reviewed,us,us
2022-07-16T03:55:57.512Z,36.4458,-0.1336,10,4.4,mb,29,96,1.334,0.59,us,us6000i2yd,2022-09-27T16:56:52.040Z,"60 km NNW of Mostaganem, Algeria",earthquake,8.68,1.886,0.179,11,reviewed,us,us
2022-06-26T19:17:51.060Z,35.913,-0.3922,10,4.6,mb,39,75,1.74,0.69,us,us7000hkfb,2022-09-03T21:03:41.040Z,"14 km NW of Aïn el Bya, Algeria",earthquake,7.1,1.8,0.093,34,reviewed,us,us
2022-06-06T17:57:47.940Z,35.4506,-3.6166,10,4,mb,37,62,2.331,0.58,us,us7000hggy,2022-08-13T21:51:52.040Z,"36 km NE of Al Hoceïma, Morocco",earthquake,6.5,1.6,0.15,12,reviewed,us,us
2022-06-02T12:55:15.177Z,35.6277,-3.4835,10,4.5,mwr,90,60,2.359,0.97,us,us7000hec0,2022-08-06T22:13:16.040Z,"58 km NE of Al Hoceïma, Morocco",earthquake,6.3,1.8,0.073,18,reviewed,us,us
2022-05-29T20:15:25.294Z,35.3156,-3.5996,10,4.4,mb,35,82,3.086,0.67,us,us7000hee2,2022-08-06T22:13:19.040Z,"29 km NE of Imzouren, Morocco",earthquake,8.2,1.9,0.126,18,reviewed,us,us
2022-05-20T20:11:28.010Z,35.4408,-3.5561,10,4.1,mb,42,74,2.97,1.09,us,us6000hmrr,2022-07-24T02:40:43.040Z,"40 km ENE of Al Hoceïma, Morocco",earthquake,6.9,1.9,0.127,19,reviewed,us,us
2022-05-20T12:35:49.576Z,35.5176,-3.4789,10,5.5,mww,166,40,2.405,0.47,us,us6000hmld,2022-07-24T02:40:37.040Z,"Strait of Gibraltar",earthquake,6.3,1.8,0.039,63,reviewed,us,us
2022-05-02T21:49:35.536Z,33.2587,-15.1656,10,4,mb,17,139,1.76,0.24,us,us7000h6px,2022-07-09T21:39:52.040Z,"157 km ENE of Caniçal, Portugal",earthquake,8.8,2,0.259,4,reviewed,us,us
2022-05-02T13:37:41.176Z,44.667,7.0936,10,3.3,ml,27,75,0.485,0.55,us,us7000h6d7,2022-08-09T06:35:10.631Z,"6 km SW of Crissolo, Italy",earthquake,3,2,0.062,34,reviewed,us,us
2022-04-16T14:36:07.344Z,35.4589,-3.477,10,4.2,mb,,78,2.794,1.12,us,us6000hfbw,2022-06-26T01:18:27.040Z,"47 km ENE of Al Hoceïma, Morocco",earthquake,4.6,2,0.167,10,reviewed,us,us
2022-04-13T06:03:24.909Z,34.7454,6.2619,10,4.2,mb,,77,2.709,1.37,us,us7000h3cs,2022-06-20T22:08:35.040Z,"23 km WNW of Zeribet el Oued, Algeria",earthquake,6.6,1.9,0.131,20,reviewed,us,us
2022-04-09T03:55:10.226Z,35.5087,-3.8224,10,4.3,mb,,112,2.155,0.2,us,us7000h1v0,2022-06-20T22:08:04.040Z,"30 km NNE of Al Hoceïma, Morocco",earthquake,3.1,2,0.266,6,reviewed,us,us
2022-04-07T07:09:04.463Z,35.5086,-3.6711,11.69,4.3,mb,,151,2.987,0.46,us,us7000h1t0,2022-06-11T20:21:19.040Z,"37 km NE of Al Hoceïma, Morocco",earthquake,8,6.5,0.168,10,reviewed,us,us
2022-03-19T09:59:30.497Z,36.847,5.1868,10,5.2,mww,,27,3.539,0.4,us,us6000h5zu,2023-09-09T20:42:59.134Z,"13 km NE of Bejaïa, Algeria",earthquake,3.8,1.8,0.052,36,reviewed,us,us
2022-03-18T04:48:30.588Z,36.1905,3.0865,10,4.1,mb,,100,3.56,0.61,us,us6000h5lr,2022-05-27T14:55:35.040Z,"16 km ENE of Berrouaghia, Algeria",earthquake,8.2,1.9,0.197,8,reviewed,us,us
2022-02-11T07:53:16.568Z,36.3658,-8.8696,10,4.1,mb,,188,0.766,0.51,us,us7000gldj,2022-04-19T17:40:27.040Z,"71 km S of Sagres, Portugal",earthquake,6.5,2,0.214,7,reviewed,us,us
2022-02-08T15:18:00.954Z,35.5318,-3.6604,11.12,4.2,mb,,144,2.264,0.55,us,us7000gk24,2022-04-19T17:40:06.040Z,"39 km NE of Al Hoceïma, Morocco",earthquake,7.4,6.5,0.305,3,reviewed,us,us
2022-02-01T02:02:59.868Z,42.4715,1.3526,5.75,4,mb,,59,0.146,0.57,us,us7000ggv1,2022-04-15T17:57:09.040Z,"7 km ESE of Farrera, Spain",earthquake,3.2,4.3,0.26,4,reviewed,us,us
2022-01-27T14:44:08.050Z,42.5729,-9.361,10,3.9,mb,,166,2.564,0.48,us,us7000gfjt,2022-04-09T20:19:11.040Z,"30 km W of Santa Uxía de Ribeira, Spain",earthquake,8.3,2,0.194,7,reviewed,us,us
2022-01-24T07:11:38.567Z,33.2582,-4.2807,10,4.2,mb,,78,0.559,0.63,us,us7000gei6,2022-08-06T12:59:45.487Z,"Fes-Boulemane, Morocco",earthquake,4.8,1.8,0.152,12,reviewed,us,us
2022-01-01T21:03:48.199Z,36.3199,-7.6651,6.92,4.3,mb,,127,1.186,0.5,us,us7000g8da,2022-03-12T22:19:00.040Z,"80 km SSE of Olhão, Portugal",earthquake,2.6,4.6,0.08,44,reviewed,us,us
2021-12-30T15:28:19.175Z,35.3652,-3.7794,10,4.3,mb,,230,4.196,0.46,us,us7000gax9,2022-03-05T23:11:11.040Z,"19 km NE of Al Hoceïma, Morocco",earthquake,4.5,2,0.239,5,reviewed,us,us
2021-12-28T19:25:15.758Z,36.7381,6.8615,11.57,4.3,mb,,90,2.245,0.93,us,us7000g9yv,2022-04-28T11:40:35.388Z,"15 km SSW of Skikda, Algeria",earthquake,2,4.9,0.169,14,reviewed,us,us
2021-12-23T01:54:26.211Z,35.1559,-3.896,10,4.8,mb,,29,2.287,0.56,us,us6000geqa,2022-03-01T16:39:37.040Z,"4 km WNW of Imzouren, Morocco",earthquake,6,1.8,0.048,133,reviewed,us,us
2021-11-18T01:23:01.611Z,35.4969,-3.6974,10,4,mb,,81,2.766,0.53,us,us7000fwhe,2022-01-22T20:52:11.040Z,"34 km NE of Al Hoceïma, Morocco",earthquake,5.4,1.9,0.182,8,reviewed,us,us
2021-10-29T04:32:12.055Z,44.2064,-7.6942,10,4.2,mb,,108,3.805,1.22,us,us7000fpmj,2022-01-14T17:58:41.040Z,"53 km NNE of Cariño, Spain",earthquake,9.2,1.9,0.215,6,reviewed,us,us
2021-10-23T19:54:01.108Z,35.3958,-3.4733,10,4.2,mb,,119,2.737,0.7,us,us7000fpgz,2022-01-08T17:43:31.040Z,"44 km NE of Imzouren, Morocco",earthquake,3.3,1.9,0.152,12,reviewed,us,us
2021-10-19T17:43:31.648Z,37.0419,-5.2649,15.15,4,mb,,141,0.949,0.68,us,us6000fvy1,2021-12-25T22:58:49.040Z,"8 km W of Villanueva de San Juan, Spain",earthquake,5.4,2,0.211,6,reviewed,us,us
2021-09-18T00:11:18.537Z,35.4828,-3.6101,10,4.2,mb,,115,2.779,0.37,us,us7000fdrm,2021-12-03T15:01:53.040Z,"39 km NE of Al Hoceïma, Morocco",earthquake,4,2,0.305,3,reviewed,us,us
2021-09-01T12:51:59.276Z,35.4448,-3.6889,10,4,mb,,134,2.281,0.55,us,us7000f9px,2021-11-06T20:28:32.040Z,"31 km NE of Al Hoceïma, Morocco",earthquake,7.3,2,0.133,15,reviewed,us,us
2021-08-28T11:20:49.968Z,35.4853,-3.5403,10,5.3,mww,,53,2.372,0.45,us,us7000f57a,2021-11-06T20:28:55.040Z,"44 km NE of Al Hoceïma, Morocco",earthquake,6.2,1.8,0.044,50,reviewed,us,us
2021-08-12T21:25:12.041Z,37.189,-3.7468,10,4.6,mb,,65,2.1,1.09,us,us6000f4uc,2021-10-23T15:46:34.040Z,"2 km W of Santafé, Spain",earthquake,7,1.8,0.076,51,reviewed,us,us
2021-08-10T10:02:06.864Z,35.562,-3.3107,10,4.4,mb,,152,2.514,0.54,us,us6000f8dp,2021-10-23T15:46:51.040Z,"45 km NW of Melilla, Spain",earthquake,7.9,2,0.536,1,reviewed,us,us
2021-08-07T04:19:15.968Z,35.4578,-3.6295,10,4.3,mb,,91,2.319,0.75,us,us6000f337,2021-10-23T15:45:47.040Z,"36 km NE of Al Hoceïma, Morocco",earthquake,6.3,1.9,0.168,11,reviewed,us,us
2021-08-02T14:06:10.084Z,35.4442,-3.6231,10,4.4,mb,,116,2.329,0.65,us,us6000f3vc,2021-10-14T01:08:45.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,6.6,1.9,0.149,13,reviewed,us,us
2021-08-02T08:49:30.097Z,35.553,-3.9634,10,4.5,mb,,137,2.033,0.39,us,us6000f3vb,2021-10-14T01:08:44.040Z,"33 km N of Al Hoceïma, Morocco",earthquake,5.7,2,0.204,7,reviewed,us,us
2021-07-31T02:01:45.319Z,36.3132,1.6646,10,4.4,mb,,74,2.485,1.28,us,us6000f0vh,2021-10-14T01:04:07.040Z,"5 km NNW of El Abadia, Algeria",earthquake,5,1.8,0.155,14,reviewed,us,us
2021-07-30T09:13:03.844Z,35.4993,-3.6941,10,4.3,mb,,63,2.253,0.63,us,us6000f0k4,2021-10-14T01:03:40.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,7.1,1.9,0.113,22,reviewed,us,us
2021-07-30T08:58:50.303Z,35.2794,-3.6453,10,4.6,mb,,61,2.392,0.53,us,us6000f0k0,2021-10-14T01:03:40.040Z,"23 km NE of Imzouren, Morocco",earthquake,4.2,1.9,0.076,52,reviewed,us,us
2021-07-19T19:21:28.085Z,36.6973,5.6209,10,4.6,mb,,69,3.162,0.84,us,us7000eni2,2022-08-09T06:18:36.529Z,"18 km SW of Jijel, Algeria",earthquake,6.4,1.9,0.054,103,reviewed,us,us
2021-07-11T11:40:03.607Z,35.4397,-3.6282,10,4.4,mb,,61,2.328,0.56,us,us6000eud8,2021-09-17T22:49:37.040Z,"34 km NE of Al Hoceïma, Morocco",earthquake,4.7,1.9,0.091,35,reviewed,us,us
2021-06-22T14:54:33.764Z,35.3962,-3.7318,18.08,4.4,mb,,131,2.661,0.57,us,us6000eprm,2021-08-27T18:58:24.040Z,"24 km NE of Al Hoceïma, Morocco",earthquake,7.4,6.6,0.309,6,reviewed,us,us
2021-06-19T03:23:06.975Z,35.4995,-3.5835,10,4.7,mb,,59,2.8,0.98,us,us7000eebi,2022-08-09T05:38:12.729Z,"42 km NE of Al Hoceïma, Morocco",earthquake,6.7,1.9,0.051,118,reviewed,us,us
2021-05-23T06:42:16.044Z,35.5354,-3.7349,10,4.5,mb,,95,2.207,0.82,us,us6000effz,2021-07-31T22:08:48.040Z,"36 km NNE of Al Hoceïma, Morocco",earthquake,7,1.9,0.171,10,reviewed,us,us
2021-05-23T06:18:40.351Z,35.4548,-3.6342,10,4.3,mb,,115,2.743,0.47,us,us6000efg5,2021-07-31T22:08:47.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,5.2,1.8,0.308,3,reviewed,us,us
2021-05-21T11:10:55.397Z,35.4151,-3.6628,10,4.4,mb,,82,2.314,0.54,us,us6000ef2q,2021-07-31T22:07:57.040Z,"30 km NE of Al Hoceïma, Morocco",earthquake,5.1,1.9,0.22,6,reviewed,us,us
2021-05-14T06:54:59.538Z,35.3374,-3.7105,10,4.3,mb,,61,2.612,0.91,us,us7000e4pb,2021-07-24T21:06:48.040Z,"22 km ENE of Al Hoceïma, Morocco",earthquake,4.1,2,0.2,7,reviewed,us,us
2021-05-11T16:52:02.638Z,35.4606,-3.5802,5.25,4.6,mb,,116,2.749,0.3,us,us7000e457,2021-07-23T18:08:47.040Z,"39 km NE of Al Hoceïma, Morocco",earthquake,7.2,4.8,0.245,5,reviewed,us,us
2021-05-01T22:10:06.405Z,35.4452,-3.6289,10,4.3,mb,,61,2.325,0.68,us,us7000dzcm,2021-07-10T20:14:54.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,6.3,1.9,0.09,35,reviewed,us,us
2021-04-26T03:01:03.627Z,36.4384,-11.4627,10,4,mb,,140,2.226,0.98,us,us6000e4tz,2021-12-10T06:47:34.538Z,"233 km WSW of Sagres, Portugal",earthquake,5.1,1.9,0.232,5,reviewed,us,us
2021-04-01T14:33:33.714Z,36.4139,7.1942,10,4.8,mb,,89,1.871,1.04,us,us6000dy9p,2021-06-08T17:59:44.040Z,"21 km WSW of Guelma, Algeria",earthquake,5.3,1.9,0.074,56,reviewed,us,us
2021-03-25T02:37:14.465Z,36.8311,5.1854,10,4.6,mb,,52,3.144,0.66,us,us6000dw83,2022-08-09T04:23:39.357Z,"12 km NE of Bejaïa, Algeria",earthquake,6.8,1.9,0.114,23,reviewed,us,us
2021-03-24T23:23:54.166Z,36.8879,5.2734,10,4.5,mb,,68,3.105,0.48,us,us6000dw71,2021-06-02T15:22:42.040Z,"northern Algeria",earthquake,6.3,1.9,0.127,18,reviewed,us,us
2021-03-19T02:48:22.267Z,36.5637,6.7925,10,3.9,mb,,74,2.227,1.26,us,us7000dku9,2021-06-02T15:23:53.040Z,"18 km NE of Didouche Mourad, Algeria",earthquake,5.5,2,0.257,4,reviewed,us,us
2021-03-18T16:21:43.274Z,36.9558,5.2711,10,4.4,mb,,90,3.039,0.87,us,us7000dkml,2021-05-26T22:08:57.040Z,"27 km NE of Bejaïa, Algeria",earthquake,6.4,1.6,0.097,35,reviewed,us,us
2021-03-18T09:51:35.203Z,38.8363,-9.102,10,3.3,ml,,167,1.18,0.36,us,us7000dkri,2024-09-18T23:36:50.812Z,"0 km SSW of Santa Iria da Azóia, Portugal",earthquake,4.4,2,0.115,10,reviewed,us,us
2021-03-18T00:33:27.553Z,36.8702,5.23,10,4.7,mb,,63,3.114,0.55,us,us7000dkfe,2021-05-26T22:08:44.040Z,"18 km NE of Bejaïa, Algeria",earthquake,6.3,1.8,0.07,62,reviewed,us,us
2021-03-18T00:17:05.186Z,36.9107,5.3143,10,5,mww,,38,3.092,0.55,us,us7000dkfb,2021-05-26T22:08:44.040Z,"26 km NE of Bejaïa, Algeria",earthquake,6.4,1.8,0.073,18,reviewed,us,us
2021-03-18T00:14:21.893Z,36.9455,5.2122,10,4.6,mb,,85,3.038,0.61,us,us6000dwmk,2021-05-26T22:08:43.040Z,"23 km NNE of Bejaïa, Algeria",earthquake,6.1,1.7,0.141,15,reviewed,us,us
2021-03-18T00:04:06.698Z,36.9206,5.2014,8,6,mww,,20,3.06,0.45,us,us7000dker,2021-09-25T11:46:15.930Z,"21 km NNE of Bejaïa, Algeria",earthquake,6.9,1.8,0.033,86,reviewed,us,us
2021-03-17T21:49:52.929Z,36.4899,6.7463,10,4.5,mb,,76,2.236,0.88,us,us7000dkdu,2021-05-26T22:08:41.040Z,"10 km ENE of Didouche Mourad, Algeria",earthquake,5.1,1.9,0.078,49,reviewed,us,us
2021-03-15T18:33:44.998Z,35.2868,6.2506,10,4.6,mb,,54,2.564,0.97,us,us7000djkd,2021-05-26T22:07:44.040Z,"9 km WNW of Arris, Algeria",earthquake,4.8,1.9,0.063,75,reviewed,us,us
